"Rapsodo MLM2PRO: Anonymized Session - 01/27/2026 4:30 PM",,,,,,,,,,,,,,,,,

"Club Type","Club Brand","Club Model","Carry Distance","Total Distance","Ball Speed","Launch Angle","Launch Direction","Apex","Side Carry","Club Speed","Smash Factor","Descent Angle","Attack Angle","Club Path","Club Data Est Type","Spin Rate","Spin Axis"
"7i",,,"156.4","163.0","108.4","20.1","-2.7","87.1","-11.5","83.5","1.30","45.8","0.6","-0.7",0,"4987","-4.1"
"7i",,,"152.1","157.5","106.6","24.7","-0.5","104.2","-10.1","82.4","1.29","50.3","1.5","1.2",0,"4669","-8.0"
"7i",,,"133.5","142.2","94.5","21.6","-2.0","67.3","-8.2","84.0","1.12","41.2","1.0","0.7",0,"4056","-4.8"
"7i",,,"160.8","168.5","109.8","21.1","-3.4","93.2","-21.0","81.8","1.34","46.5","-1.4","-0.3",0,"4352","-9.7"
"7i",,,"135.7","136.8","95.6","19.6","-6.4","54.1","-32.3","81.2","1.18","35.3","0.8","0.4",0,"3276","-25.8"
"7i",,,"136.8","142.2","98.4","24.7","-0.0","86.6","10.4","80.1","1.23","47.8","0.9","-3.0",0,"5064","10.0"
"7i",,,"155.3","161.9","106.9","22.9","-2.8","97.2","-8.0","80.1","1.33","48.2","-0.6","-3.3",0,"4479","-0.8"
"7i",,,"161.9","169.6","108.8","20.5","-3.7","87.8","-19.6","81.2","1.34","44.7","-1.0","-2.0",0,"4078","-8.3"
"7i",,,"159.7","165.2","109.7","22.1","-2.1","99.3","-3.4","81.8","1.34","48.5","-1.8","-2.7",0,"4783","1.2"
"7i",,,"145.5","155.3","100.1","20.9","-5.6","72.8","-15.9","81.2","1.23","41.1","1.2","-4.1",0,"3664","-2.4"
"7i",,,"161.9","165.2","108.7","20.9","-7.5","84.6","-43.9","82.9","1.31","44.0","1.8","-0.7",0,"3834","-21.1"
"7i",,,"163.0","169.6","110.0","20.7","-0.6","92.1","-12.7","82.4","1.34","46.0","0.9","3.2",0,"4305","-9.2"
"7i",,,"155.3","160.8","107.9","20.4","-1.8","87.6","-7.7","85.1","1.27","46.0","-0.8","0.6",0,"5014","-3.0"
"7i",,,"155.3","157.5","106.5","16.7","-9.3","64.5","-41.7","82.4","1.29","38.8","1.2","-0.9",0,"4425","-17.3"
"7i",,,"145.5","148.8","105.2","26.6","5.6","109.8","20.8","82.4","1.28","52.5","1.6","2.5",0,"5430","5.2"
"7i",,,"138.9","148.8","98.3","17.8","-2.1","58.2","1.7","83.5","1.18","36.9","-0.7","-0.6",0,"4092","6.8"
"7i",,,"157.5","161.9","109.3","23.3","-1.3","104.0","-1.7","83.5","1.31","49.8","-0.2","0.4",0,"4886","0.8"
"7i",,,"147.7","152.1","106.5","26.0","3.0","109.7","17.3","82.9","1.28","52.2","-0.7","-1.0",0,"5399","7.5"
"7i",,,"163.0","168.5","111.2","21.8","-2.6","100.3","-14.3","82.9","1.34","48.3","-0.7","-0.2",0,"4557","-5.8"
"7i",,,"143.3","149.9","100.4","21.3","-2.0","77.4","1.1","81.8","1.23","44.1","-0.7","-2.2",0,"4709","5.3"
"7i",,,"158.6","165.2","109.4","20.9","-1.4","93.0","-1.0","82.4","1.33","47.0","-1.8","-2.4",0,"4856","1.7"
